"Namespace","Repo","Reference","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","ros2","devel",2022,10,"2022-10-01",130,149,0,35
"osrf","ros","humble-desktop-jammy",2022,10,"2022-10-01",360,427,0,50
"osrf","ros","sha256:e350d250d704f10ae43039e7f7b1f3da2282cfe1330852964797f375d547f174",2022,10,"2022-10-01",12,0,12,0
"osrf","ros","rolling-simulation-jammy",2022,10,"2022-10-01",32,64,0,32
"osrf","ros","rolling-desktop-full",2022,10,"2022-10-01",22,28,0,15
"osrf","ros","kinetic-desktop-full-xenial",2022,10,"2022-10-01",42,48,0,5
"osrf","ubuntu_arm64","artful",2022,10,"2022-10-01",2,3,0,0
"osrf","debian_arm64","bullseye",2022,10,"2022-10-01",20,25,0,0
"osrf","ros2_packaging_jammy_39_snapshot","latest",2022,10,"2022-10-01",16,22,0,0
"osrf","vrx","nvidia_current",2022,10,"2022-10-01",16,21,0,0
"osrf","ros","sha256:c3f5307e4d50785940cd87b68f0b46c4a6d3b69a13aa3229ac39e92e1cca3882",2022,10,"2022-10-01",5,0,5,0
"osrf","ros_legacy","sha256:3e6bec1000c5f4ba70a14ca069e36146bc5a70405f8f9edfb44564b4045b3681",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:55221a8e59f3449a49e2cbf9c7b67ce214d19f13bbf9fce0b001ed1990db631b",2022,10,"2022-10-01",1,0,1,0
"osrf","ros2","sha256:6541cff29967a9a3c1d69938555875fb04e7ec120f1cdad3d396279d234e73fb",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:81c05a3c506c2ed112f0b5f84c72fc2fd94722a655ac20c0b0863df5593b74f0",2022,10,"2022-10-01",5,0,18,0
"osrf","ros","sha256:7233f666c718a060633f3e31bd60cbe87605cee5274673fb35866611f820d091",2022,10,"2022-10-01",7,0,7,0
"osrf","lrauv","sha256:7da3f452d672c22f148b351c60c9e499417db8853a6dc29998777ba9c755e59b",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","rolling-simulation",2022,10,"2022-10-01",1,2,0,0
"osrf","ros_legacy","sha256:a1063eac4ee768c05921667fde34cf8ee32ff637cb0a474ec7e7a3b3f336a73b",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:d1b14744d3775d019658fb28fa96817774a1ecdb3f09e00e7f827f5913482502",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:d73cba600c689ab71bb3e662ebb18f9a327667ba816d6e4d69bbf3efe9952368",2022,10,"2022-10-01",2,0,3,0
"osrf","ros_legacy","sha256:662e44c818d6074ba92cbb82939b0f56ebb3714bdaf4d7b5e89a206519383f32",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2","sha256:e99f0de51d94a711fcbfef2f17362ae8b90c577ef7373aa8815dcb7891660ab9",2022,10,"2022-10-01",2,0,2,0
"osrf","trusty-ros-indigo","sha256:a7936bca0d2173187d5a7a19976ae54be542dbf2edbb43c9b2e2e3bb9bb9f6ca",2022,10,"2022-10-01",3,0,3,0
"osrf","ros2","sha256:889eee82c43e188a8dc934f3b09cc45c4b69a524eda629ee2981d50e18404271",2022,10,"2022-10-01",1,0,1,0
"osrf","ros2","sha256:0fbcc8404d2f12b58e177eb97735c1eefbd119e87ec50b2a584bb0542c1359ee",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:32834e8263a4ab6b8b792b1542d1339d434d5306ccf1f0311608348bca03d47d",2022,10,"2022-10-01",1,0,1,0
"osrf","ros_legacy","sha256:15cae27de20efb58971c3d26411e66fb5a6c7f76637e345c499270063eebee9b",2022,10,"2022-10-01",1,0,1,0
"osrf","ubuntu_arm64","focal",2022,10,"2022-10-01",23,310,0,9096
"osrf","ros","noetic-desktop-focal",2022,10,"2022-10-01",129,334,0,173
"osrf","ros2","nightly-rmw",2022,10,"2022-10-01",35,36,0,102
"osrf","subt-virtual-testbed","latest",2022,10,"2022-10-01",28,30,0,16
"osrf","ros2","nightly-rmw-nonfree",2022,10,"2022-10-01",99,105,0,40
"osrf","ros2_batch_ci_aarch64_jammy_39_snapshot","latest",2022,10,"2022-10-01",17,21,0,0
"osrf","ros","foxy-ros1-bridge",2022,10,"2022-10-01",13,20,0,8
"osrf","sros","sha256:8b27c8120fc621e146b21d1c28c089bb396596e5907006f8f73551c7d8a73cef",2022,10,"2022-10-01",1,0,1,0
"osrf","lrauv","gz-garden-262-merge",2022,10,"2022-10-01",2,2,0,0
"osrf","ros","rolling-desktop-jammy",2022,10,"2022-10-01",353,418,0,32
"osrf","ros","sha256:1cd5caf61c533a669ca78a1864a8494059b51c6014c671b21cf4d8f45b6a1ff0",2022,10,"2022-10-01",4,0,6,0
"osrf","ros","sha256:2128a2205b41d3a958a614a702c1157d9373138eea895911098aaff60910e647",2022,10,"2022-10-01",16,0,16,0
"osrf","ros","sha256:f603b6fbe881abaa1dc037818fd0606f1b0a422e5c5ab10f738079ea2075b63c",2022,10,"2022-10-01",2,0,2,0
"osrf","trusty-ros-indigo","desktop",2022,10,"2022-10-01",17,21,0,0
"osrf","car_demo","sha256:f174be97432d72d53d3468d5f24b1ce01dd0618b8947a595c3460fb9749522ae",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:2a8b6e59f0b8bd43d68876209b56af1d52bd1a2c05fbe7b95fa72bf863c361ff",2022,10,"2022-10-01",2,0,2,0
"osrf","mbzirc","mbzirc_sim_latest",2022,10,"2022-10-01",2,3,0,0
"osrf","ubuntu_armhf","xenial",2022,10,"2022-10-01",12,155,0,0
"osrf","ros2","sha256:9b5887593ebdd065be144e0eb11fb43b64c7a5a0898bf6a4edb86f96bf393245",2022,10,"2022-10-01",3,0,3,0
"osrf","lrauv","gz-garden-267-merge",2022,10,"2022-10-01",2,2,0,0
"osrf","ros","sha256:c91d6e4c448ae8b2070c9f100805567010d8211b2b0b655a7926cea01d94e31e",2022,10,"2022-10-01",1,0,2,0
"osrf","ros2","sha256:b6daca8bdf0626aea9d790da922bbd73f8d0a0a0d69e2d7512aa983009d06adb",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:f90f38c049f8d49b8e2dd9846ae198f1d2cac8b826ae9e6f6612553495b35fd4",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2_packaging_jammy_39_snapshot","sha256:0a072bb68cdf89bc707a9bf2c2c7ce66d88f97e5a800326b9c4ca589ccd17850",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:a1281886d3aa762925049250428cffeb87c8042cfb9cff2e2ad419b8b87ec8d3",2022,10,"2022-10-01",7,0,7,0
"osrf","ros2","sha256:89f5e484b8695d9641a43114446b953c9dd5742c6471cd2ce86777def551db79",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:3b9a2be5e08779b60ae8ee786d0d7581840d60767988fe5201aa3039943cb456",2022,10,"2022-10-01",1,0,1,0
"osrf","ros2","sha256:bb81c7aed08f84b539566088682e62a411e8f2e5af4f1037957b218939773fa6",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:ced5f3c47f311e4d5ecf0b9395104548bae9c8ebef5231566bab34d810c06021",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:44f5dcf298aee05469c369c57e58299deaa81879c68af16b510cf3d81d157b1d",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:694ed3140d16a139ed535ccb87172a70200d7745efe48c6f09efd4499a6f1c90",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","melodic-desktop-bionic",2022,10,"2022-10-01",24581,26853,0,162
"osrf","ros","galactic-desktop",2022,10,"2022-10-01",1657,2315,0,2386
"osrf","ros","foxy-desktop-focal",2022,10,"2022-10-01",345,383,0,39
"osrf","ros","galactic-desktop-focal",2022,10,"2022-10-01",385,535,0,208
"osrf","ros","humble-desktop-full",2022,10,"2022-10-01",259,486,0,245
"osrf","ros","sha256:359eed329bfed4c287a8209172a4ba5be99213502636571a6ea93884f62c0fa9",2022,10,"2022-10-01",29,0,38,0
"osrf","ros2","testing",2022,10,"2022-10-01",52,54,0,4
"osrf","ubuntu_arm64","jammy",2022,10,"2022-10-01",38,53,0,5386
"osrf","ros","humble-desktop-full-jammy",2022,10,"2022-10-01",45,77,0,40
"osrf","ros","kinetic-desktop",2022,10,"2022-10-01",131,148,0,55
"osrf","ros2","sha256:0821e22c755074534583f0fba3abf712b1afbe00f6953c378a3bdbc3338330af",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2","sha256:bcc2eec12d116706b7c9360876e59b0ff78d4a910f1bbc58a5db92296f29c06d",2022,10,"2022-10-01",3,0,3,0
"osrf","gazebo","gzweb8",2022,10,"2022-10-01",19,24,0,0
"osrf","ros2_packaging_aarch64_jammy_39_snapshot","latest",2022,10,"2022-10-01",19,24,0,0
"osrf","ros","sha256:d1b2479f3bb940388ffe6b6a124ed10050b5e38673996c119d637c59138c747c",2022,10,"2022-10-01",26,0,26,0
"osrf","ros","sha256:3fb9f5efc5677603ebb60471d344d17fb1e6f26ec7b4577f08ef8398cc0a3dc2",2022,10,"2022-10-01",69,0,69,0
