"Namespace","Repo","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","ubuntu_32bit",2022,11,"2022-11-01",23,30,0,0
"osrf","ros2",2022,11,"2022-11-01",556,860,193,192
"osrf","ros_eol",2022,11,"2022-11-01",23,30,0,0
"osrf","ubuntu_arm64",2022,11,"2022-11-01",62,629,3,21312
"osrf","ubuntu_armhf",2022,11,"2022-11-01",86,1424,1,6755
"osrf","vmrc",2022,11,"2022-11-01",23,60,0,0
"osrf","trusty-ros-indigo",2022,11,"2022-11-01",23,30,0,0
"osrf","ros",2022,11,"2022-11-01",37600,48828,939,13911
"osrf","sros",2022,11,"2022-11-01",23,30,0,0
"osrf","lrauv",2022,11,"2022-11-01",61,53,17,0
"osrf","subt-virtual-testbed",2022,11,"2022-11-01",37,45,0,14
"osrf","ros2_packaging_jammy_39_snapshot",2022,11,"2022-11-01",22,30,0,0
"osrf","ros_legacy",2022,11,"2022-11-01",23,30,0,0
"osrf","ros2_batch_ci_jammy_39_snapshot",2022,11,"2022-11-01",23,30,0,0
"osrf","car_demo",2022,11,"2022-11-01",25,32,0,5
"osrf","ros2_packaging_aarch64_jammy_39_snapshot",2022,11,"2022-11-01",28,36,0,5
"osrf","space-ros",2022,11,"2022-11-01",9,7,2,2
"osrf","mbzirc",2022,11,"2022-11-01",28,36,0,1
"osrf","ros2_batch_ci_aarch64_jammy_39_snapshot",2022,11,"2022-11-01",23,30,0,0
"osrf","gazebo",2022,11,"2022-11-01",32,39,0,1
"osrf","debian_arm64",2022,11,"2022-11-01",41,53,3,5753
"osrf","ubuntu_i386",2022,11,"2022-11-01",25,35,0,0
"osrf","vrx",2022,11,"2022-11-01",23,30,0,0
"osrf","debian_armhf",2022,11,"2022-11-01",24,31,0,0
