,skip,arch,host,distro,release,pkg,file,path,count
0,False,,ubuntu-prerelease,noble,jetty,gz-jetty,gz-jetty_1.0.0~pre1-1~noble.dsc,/gazebo/ubuntu-prerelease/pool/main/g/gz-jetty/gz-jetty_1.0.0~pre1-1~noble.dsc,9
1,True,,,jammy,,,InRelease,/gazebo/ubuntu-stable/dists/jammy/InRelease,28850
2,False,,ubuntu-stable,jammy,,,,/gazebo/ubuntu-stable/dists/jammy/main/binary-amd64/Packages.gz,20448
3,True,,,,,,InRelease,/gazebo/ubuntu-prerelease/dists/groovy/InRelease,8
4,False,amd64,ubuntu,focal,dome,ignition-physics3,libignition-physics3-tpelib-dev_3.4.1-1~focal_amd64.deb,/gazebo/ubuntu/pool/main/i/ignition-physics3/libignition-physics3-tpelib-dev_3.4.1-1~focal_amd64.deb,5
5,False,,ubuntu,focal,garden,gz-fuel-tools8,gz-fuel-tools8_8.2.0-2~focal.dsc,/gazebo/ubuntu/pool/main/g/gz-fuel-tools8/gz-fuel-tools8_8.2.0-2~focal.dsc,9
6,False,,ubuntu-stable,trusty,jetty,ignition-transport3,ignition-transport3_3.0.0-1~trusty.dsc,/gazebo/ubuntu-stable/pool/main/i/ignition-transport3/ignition-transport3_3.0.0-1~trusty.dsc,7
7,False,,ubuntu-stable,jammy,jetty,ros-iron-ros-gzgarden-sim,ros-iron-ros-gzgarden-sim_0.245.0-1005jammy.dsc,/gazebo/ubuntu-stable/pool/main/r/ros-iron-ros-gzgarden-sim/ros-iron-ros-gzgarden-sim_0.245.0-1005jammy.dsc,8
8,False,arm64,ubuntu,focal,dome,ignition-physics3,libignition-physics3-tpelib-dev_3.4.1-1~focal_arm64.deb,/gazebo/ubuntu/pool/main/i/ignition-physics3/libignition-physics3-tpelib-dev_3.4.1-1~focal_arm64.deb,6
9,False,,ubuntu-prerelease,,jetty,ogre-next-2.3,,/gazebo/ubuntu-prerelease/pool/main/o/ogre-next-2.3/,16
10,False,,ubuntu,xenial,jetty,ros-kinetic-gazebo-plugins,ros-kinetic-gazebo-plugins_2.5.14-0xenial.dsc,/gazebo/ubuntu/pool/main/r/ros-kinetic-gazebo-plugins/ros-kinetic-gazebo-plugins_2.5.14-0xenial.dsc,9
11,True,,,focal,,,InRelease,/gazebo/ubuntu-stable/dists/focal/InRelease,6035
12,False,,ubuntu-prerelease,jammy,,,,/gazebo/ubuntu-prerelease/dists/jammy/main/binary-i386/,16
13,True,,,,,,gazebo.gpg,/gazebo.gpg,13550
14,True,,,noble,,,InRelease,/gazebo/ubuntu-stable/dists/noble/InRelease,35160
15,False,,ubuntu-stable,noble,,,,/gazebo/ubuntu-stable/dists/noble/main/binary-amd64/Packages.gz,28576
16,False,amd64,ubuntu-stable,jammy,jetty,ignition-cmake2,libignition-cmake2-dev_2.17.2-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-cmake2/libignition-cmake2-dev_2.17.2-1%7ejammy_amd64.deb,1955
17,False,amd64,ubuntu-stable,jammy,fortress,ignition-fuel-tools7,libignition-fuel-tools7-dev_7.3.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-fuel-tools7/libignition-fuel-tools7-dev_7.3.1-1%7ejammy_amd64.deb,1520
18,False,amd64,ubuntu-stable,jammy,multiple,ignition-math6,python3-ignition-math6_6.15.1-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-math6/python3-ignition-math6_6.15.1-1%7ejammy_amd64.deb,706
